9:
 num     #instances         #bytes  class name (module)
 328:           135           8640  io.netty.handler.codec.http2.DefaultHttp2Connection$ConnectionStream
 329:           135           8640  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController$AutoRefillState
 330:           135           8640  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController
 331:           135           8640  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor
 332:           215           8600  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.6)
 333:           268           8576  kotlin.reflect.jvm.internal.impl.types.IndexedParametersSubstitution
 334:           357           8568  java.util.IdentityHashMap$KeySet (java.base@21.0.6)
 335:           213           8520  org.glassfish.jersey.server.internal.routing.WildcardMethodSelectingRouter$ConsumesProducesAcceptor
 336:           263           8416  java.util.concurrent.ConcurrentLinkedQueue (java.base@21.0.6)
 337:           208           8320  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@21.0.6)
 338:           173           8304  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.6)
 339:           170           8160  com.google.inject.spi.ElementSource
 340:           169           8112  com.fasterxml.jackson.databind.introspect.AnnotatedField
 341:           338           8112  io.netty.channel.epoll.AbstractEpollStreamChannel$1
 342:           200           8000  io.undertow.util.HttpString
 343:           332           7968  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.6)
 344:            71           7952  java.lang.module.ModuleDescriptor (java.base@21.0.6)
 345:           329           7896  com.google.common.collect.RegularImmutableList
 346:           329           7896  java.util.HashMap$EntrySet (java.base@21.0.6)
 347:           123           7872  com.google.inject.internal.MembersInjectorImpl
 348:           328           7872  java.lang.Character$UnicodeBlock (java.base@21.0.6)
 349:            97           7760  java.lang.StackTraceElement (java.base@21.0.6)
 350:           320           7680  com.google.inject.Key$AnnotationInstanceStrategy
 351:            30           7648  [Lio.netty.buffer.IntPriorityQueue;
 352:           238           7616  java.util.ImmutableCollections$Set12 (java.base@21.0.6)
 353:           135           7560  io.netty.handler.codec.http2.DefaultHttp2ConnectionEncoder
 354:           135           7560  io.netty.handler.codec.http2.DefaultHttp2FrameReader
 355:           135           7560  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController
 356:           135           7560  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$FlowState
 357:           135           7560  io.netty.handler.codec.http2.HpackDecoder
 358:           314           7536  java.util.HashMap$KeySet (java.base@21.0.6)
 359:           134           7504  kotlin.reflect.jvm.internal.impl.resolve.scopes.SubstitutingScope
 360:           186           7440  org.glassfish.hk2.utilities.cache.LRUHybridCache$HybridCacheEntryImpl
 361:           116           7424  java.lang.ref.Finalizer (java.base@21.0.6)
 362:           103           7416  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$5
 363:           184           7360  java.io.File (java.base@21.0.6)
 364:           228           7296  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
 365:           130           7280  java.security.ProtectionDomain (java.base@21.0.6)
 366:           303           7272  kotlin.reflect.jvm.internal.KFunctionImpl$$Lambda$2
 367:           150           7200  kotlin.reflect.jvm.internal.KParameterImpl
 368:           123           7176  [Lcom.google.inject.internal.SingleParameterInjector;
